in situ no,group - sample no,no of segments,development category,Tail broken,anterior cluster,AntPost-VasaCl,Post-VasaCl,Age-days,date fertilized,date fixed,culture type,Culture box
ISH5,R3.0.0 - 1,23,a,n,y,2,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 2,20,a,n,y,1,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 3,24,a,n,y,4,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 5,23,a,n,y,2,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 6,30,a,n,y,3,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 8,20,a,n,y,2,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 10,28,a,n,y,3,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 7,16,b,n,y,3,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 11,32,b,n,y,4,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.3 - 5,38,a,n,y,5,3,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 10,25,a,n,y,2,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 2,24,b,n,y,3,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 4,31,b,n,y,4,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 6,31,b,n,y,3,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 7,29,b,n,y,2,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 8,23,b,n,y,1,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 9,31,b,n,y,5,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 1,41,c,n,y,31,29,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.5 - 2,26,a,n,y,3,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 6,24,a,n,y,2,1,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 7,21,a,n,y,1,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 9,26,a,n,y,1,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 10,28,a,n,y,2,1,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 11,29,a,n,y,3,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 3,26,b,n,y,5,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 4,28,b,n,y,3,1,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 5,24,b,n,y,3,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 8,24,b,n,y,3,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 12,30,b,n,y,1,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.7 - 2,17,a,n,y,2,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 3,17,a,n,y,2,1,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 7,19,a,n,y,2,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 10,19,a,n,y,5,3,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 11,17,a,n,y,6,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 1,20,b,n,y,4,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 8,34,b,n,y,3,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.14 - 5,23,a,n,y,3,0,88,18-Feb-19,22-May-19,LD,R3.0.14
ISH5,R3.0.14 - 8,26,a,n,y,3,1,88,18-Feb-19,22-May-19,LD,R3.0.14
ISH5,R3.0.14 - 10,28,a,n,y,6,3,88,18-Feb-19,22-May-19,LD,R3.0.14
ISH5,R3.0.14 - 2,28,b,n,y,5,0,88,18-Feb-19,22-May-19,LD,R3.0.14
ISH5,R3.0.14 - 3,32,b,n,y,5,1,88,18-Feb-19,22-May-19,LD,R3.0.14
ISH5,R3.0.14 - 7,32,b,n,y,2,0,88,18-Feb-19,22-May-19,LD,R3.0.14
ISH5,R3.0.14 - 9,34,c,n,y,12,10,88,18-Feb-19,22-May-19,LD,R3.0.14
ISH5,R3.0.30 - 6,40,a,n,y,4,3,104,18-Feb-19,2-Jun-19,LD,R3.0.30
ISH5,R3.0.30 - 7,40,a,n,y,5,3,104,18-Feb-19,2-Jun-19,LD,R3.0.30
ISH5,R3.0.30 - 1,52,c,n,n,34,34,104,18-Feb-19,2-Jun-19,LD,R3.0.30
ISH5,R3.0.30 - 4,55,c,n,y,14,13,104,18-Feb-19,2-Jun-19,LD,R3.0.30
ISH5,R3.0.60 - 2,64,c,n,y,61,56,134,18-Feb-19,2-Jul-19,LD,R3.0.60
ISH5,R3.0.60 - 4,57,c,n,n,65,65,134,18-Feb-19,2-Jul-19,LD,R3.0.60
ISH5,R3.0.60 - 5,57,c,n,n,70,69,134,18-Feb-19,2-Jul-19,LD,R3.0.60
ISH5,R3.0.60 - 7,59,c,n,y,38,28,134,18-Feb-19,2-Jul-19,LD,R3.0.60
ISH5,R3.0.60 - 8,53,c,n,y,31,26,134,18-Feb-19,2-Jul-19,LD,R3.0.60
ISH5,R3.0.60 - 12,58,c,n,y,26,25,134,18-Feb-19,2-Jul-19,LD,R3.0.60
ISH9,tube01 - 4,18,a,n,y,1,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 6,23,a,n,y,2,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 8,20,a,n,y,5,1,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 9,22,a,n,y,3,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 11,16,a,n,y,3,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 12,25,a,n,y,2,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 13,17,a,n,y,1,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 20,15,a,n,y,1,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 24,17,a,n,y,3,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube01 - 30,19,a,n,y,2,0,39,4-Oct-19,12-Nov-19,HD,A
ISH9,tube04 - 1,19,a,n,y,3,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 2,19,a,n,y,3,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 3,17,a,n,y,3,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 8,26,a,n,y,3,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 9,19,a,n,y,3,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 10,24,a,n,y,3,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 11,20,a,n,y,2,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 14,22,a,n,y,2,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 16,18,a,n,y,1,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 18,18,a,n,y,1,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 19,22,a,n,y,2,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 4,23,b,n,y,3,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 15,27,b,n,y,3,1,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube04 - 17,28,b,n,y,2,0,39,4-Oct-19,12-Nov-19,LD,D
ISH9,tube03 - 2,23,a,n,y,4,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 3,21,a,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 7,16,a,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 8,17,a,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 10,21,a,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 11,16,a,n,y,1,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 12,21,a,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 16,25,a,n,y,1,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 17,20,a,n,y,1,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 19,25,a,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 22,26,a,n,y,2,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 23,22,a,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 24,20,a,n,y,1,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 26,22,a,n,y,2,1,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 29,31,a,n,y,2,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube06 - 9,23,a,n,y,3,0,55,4-Oct-19,28-Nov-19,LD,C
ISH9,tube03 - 13,25,b,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 20,32,b,n,y,3,1,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 21,32,b,n,y,4,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 25,23,b,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 28,28,b,n,y,3,0,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube03 - 30,22,b,n,y,5,,55,4-Oct-19,28-Nov-19,HD,C
ISH9,tube05 - 2,37,b,n,y,2,0,55,4-Oct-19,28-Nov-19,LD,E
ISH9,tube05 - 6,31,b,n,y,5,0,55,4-Oct-19,28-Nov-19,LD,E
ISH9,tube06 - 8,35,b,n,y,7,0,55,4-Oct-19,28-Nov-19,LD,E
ISH9,tube06 - 10,30,b,n,y,4,0,55,4-Oct-19,28-Nov-19,LD,E
ISH9,tube05 - 4,34,c,n,y,8,6,55,4-Oct-19,28-Nov-19,LD,E
ISH9,tube06 - 6,45,c,n,y,45,40,55,4-Oct-19,28-Nov-19,LD,E
ISH9,tube06 - 7,45,c,n,y,25,22,55,4-Oct-19,28-Nov-19,LD,E
ISH9,tube02 - 1,24,a,n,y,1,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 3,23,a,n,y,4,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 5,20,a,n,y,2,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 7,34,a,n,y,2,1,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 8,25,a,n,y,2,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 9,27,a,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 10,30,a,n,y,1,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 14,22,a,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 19,23,a,n,y,4,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 21,22,a,n,y,2,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 22,27,a,n,y,2,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 23,24,a,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 25,18,a,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 28,25,a,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 30,29,a,n,y,4,1,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 32,26,a,n,y,3,1,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 33,21,a,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 34,15,a,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 35,22,a,n,y,2,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 36,21,a,n,y,2,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 38,23,a,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 39,20,a,n,y,2,1,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 40,17,a,n,y,4,1,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube09 - 12,39,a,n,y,1,0,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube09 - 17,26,a,n,y,2,0,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube02 - 12,31,b,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 13,37,b,n,y,2,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 20,27,b,n,y,7,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 24,31,b,n,y,4,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube02 - 26,28,b,n,y,3,0,63,4-Oct-19,6-Dec-19,HD,B
ISH9,tube09 - 1,53,c,n,n,117,109,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube09 - 4,49,c,n,n,37,37,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube09 - 5,47,c,n,n,49,49,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube09 - 8,35,c,n,y,10,8,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube09 - 9,35,c,n,y,6,4,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube09 - 11,43,c,n,n,3,3,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube09 - 13,39,c,n,n,9,9,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 1,54,c,n,n,30,30,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 2,46,c,n,n,19,18,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 3,44,c,n,n,36,32,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 5,36,c,n,n,5,5,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 6,47,c,n,y,18,14,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 7,46,c,n,n,65,65,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 8,47,c,n,n,15,15,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 10,47,c,n,y,36,33,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 11,44,c,n,n,8,8,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube10 - 12,37,c,n,y,7,4,63,4-Oct-19,6-Dec-19,LD,G
ISH9,tube07 - 2,20,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 3,15,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 5,18,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 6,22,a,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 7,18,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 10,19,a,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 11,31,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 18,24,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 19,24,a,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 20,27,a,n,y,3,1,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 21,24,a,n,y,4,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 22,32,a,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 25,32,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 27,26,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 33,27,a,n,y,3,1,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 34,25,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 35,22,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 2,28,a,n,y,2,1,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 3,28,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 4,30,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 5,29,a,n,y,3,1,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 6,29,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 7,25,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 8,20,a,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 9,16,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 10,21,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 11,22,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 12,33,a,n,y,4,2,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 13,30,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 14,31,a,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 15,29,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 18,29,a,n,y,3,1,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 21,33,a,n,y,1,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 22,19,a,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 26,26,a,n,y,2,1,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 28,26,a,n,y,3,1,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 29,29,a,n,y,5,2,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube08 - 30,27,a,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 4,23,b,n,y,4,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 9,20,b,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 12,24,b,n,y,2,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 15,30,b,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 16,34,b,n,y,3,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 17,32,b,n,y,4,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 23,28,b,n,y,7,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 28,32,b,n,y,8,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 29,32,b,n,y,5,0,84,6-Aug-19,29-Oct-19,HD,F
ISH9,tube07 - 32,28,b,n,y,4,0,84,6-Aug-19,29-Oct-19,HD,F
