in situ #,group,group - sample #,time point,Culture type,food regimen,SegmentNo,AntPostClNo,PostClNo,Age,date fertilized,date fixed,Condition
ISH15,"t3, HD, half food","t3,HD,hf,tube05 - 11",t3,HD,half,53,20,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube05 - 12",t3,HD,half,49,26,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube05 - 13",t3,HD,half,49,31,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube05 - 14",t3,HD,half,40,16,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube05 - 15",t3,HD,half,47,19,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube05 - 16",t3,HD,half,41,7,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 21",t3,HD,half,43,6,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 22",t3,HD,half,46,12,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 23",t3,HD,half,50,25,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 24",t3,HD,half,45,8,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 25",t3,HD,half,44,15,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 26",t3,HD,half,39,19,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 27",t3,HD,half,46,10,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 28",t3,HD,half,43,10,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 29",t3,HD,half,42,16,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 30",t3,HD,half,46,29,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH15,"t3, HD, half food","t3,HD,hf,tube06 - 31",t3,HD,half,44,16,,83,10-Mar-20,1-Jun-20,"HD, half food"
ISH13,"t3, HD, normal food","t3,HD,nf - 01",t3,HD,normal,38,8,8,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH13,"t3, HD, normal food","t3,HD,nf - 02",t3,HD,normal,46,53,53,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 03",t3,HD,normal,38,17,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 04",t3,HD,normal,39,8,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 05",t3,HD,normal,40,16,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH13,"t3, HD, normal food","t3,HD,nf - 07",t3,HD,normal,33,3,0,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 07",t3,HD,normal,49,24,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH13,"t3, HD, normal food","t3,HD,nf - 08",t3,HD,normal,30,6,3,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 08",t3,HD,normal,44,47,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 09",t3,HD,normal,45,20,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH13,"t3, HD, normal food","t3,HD,nf - 10",t3,HD,normal,28,4,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 10",t3,HD,normal,49,23,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH13,"t3, HD, normal food","t3,HD,nf - 11",t3,HD,normal,45,12,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 11",t3,HD,normal,49,29,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 12",t3,HD,normal,51,37,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH13,"t3, HD, normal food","t3,HD,nf - 13",t3,HD,normal,38,7,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 13",t3,HD,normal,45,9,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH13,"t3, HD, normal food","t3,HD,nf - 14",t3,HD,normal,52,42,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 14",t3,HD,normal,46,20,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 17",t3,HD,normal,39,10,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 18",t3,HD,normal,38,2,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 19",t3,HD,normal,38,3,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 20",t3,HD,normal,34,1,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 21",t3,HD,normal,34,7,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 22",t3,HD,normal,33,4,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH14,"t3, HD, normal food","t3,HD,nf - 24",t3,HD,normal,39,9,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 01",t3,HD,normal,61,48,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 03",t3,HD,normal,46,40,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 04",t3,HD,normal,45,4,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 05",t3,HD,normal,42,22,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 07",t3,HD,normal,40,11,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 08",t3,HD,normal,46,23,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 09",t3,HD,normal,39,7,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 10",t3,HD,normal,45,6,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 13",t3,HD,normal,39,5,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 15",t3,HD,normal,39,3,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 16",t3,HD,normal,29,5,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 17",t3,HD,normal,35,3,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 19",t3,HD,normal,34,7,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH15,"t3, HD, normal food","t3,HD,nf,tube07 - 20",t3,HD,normal,30,3,,83,10-Mar-20,1-Jun-20,"HD, normal food"
ISH13,"t3, LD, half food","t3,LD,hf - 01",t3,LD,half,49,12,10,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, half food","t3,LD,hf - 01",t3,LD,half,50,27,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH13,"t3, LD, half food","t3,LD,hf - 02",t3,LD,half,45,25,23,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, half food","t3,LD,hf - 02",t3,LD,half,51,43,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH13,"t3, LD, half food","t3,LD,hf - 03",t3,LD,half,37,6,2,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, half food","t3,LD,hf - 03",t3,LD,half,44,10,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH13,"t3, LD, half food","t3,LD,hf - 04",t3,LD,half,50,14,13,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, half food","t3,LD,hf - 04",t3,LD,half,47,25,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH13,"t3, LD, half food","t3,LD,hf - 05",t3,LD,half,50,39,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, half food","t3,LD,hf - 05",t3,LD,half,47,10,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH13,"t3, LD, half food","t3,LD,hf - 06",t3,LD,half,49,60,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, half food","t3,LD,hf - 06",t3,LD,half,48,22,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH13,"t3, LD, half food","t3,LD,hf - 07",t3,LD,half,52,60,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, half food","t3,LD,hf - 07",t3,LD,half,50,31,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, half food","t3,LD,hf - 09",t3,LD,half,49,13,,83,10-Mar-20,1-Jun-20,"LD, half food"
ISH14,"t3, LD, normal food","t3,LD,nf - 01",t3,LD,normal,59,33,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t3, LD, normal food","t3,LD,nf - 02",t3,LD,normal,53,19,15,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH14,"t3, LD, normal food","t3,LD,nf - 02",t3,LD,normal,56,22,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t3, LD, normal food","t3,LD,nf - 03",t3,LD,normal,58,31,31,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH14,"t3, LD, normal food","t3,LD,nf - 03",t3,LD,normal,54,13,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t3, LD, normal food","t3,LD,nf - 04",t3,LD,normal,57,25,20,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH14,"t3, LD, normal food","t3,LD,nf - 04",t3,LD,normal,53,18,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t3, LD, normal food","t3,LD,nf - 05",t3,LD,normal,52,16,15,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH14,"t3, LD, normal food","t3,LD,nf - 05",t3,LD,normal,45,18,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t3, LD, normal food","t3,LD,nf - 06",t3,LD,normal,54,43,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH14,"t3, LD, normal food","t3,LD,nf - 06",t3,LD,normal,51,16,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH14,"t3, LD, normal food","t3,LD,nf - 07",t4,LD,normal,54,88,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t3, LD, normal food","t3,LD,nf - 08",t4,LD,normal,45,7,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t3, LD, normal food","t3,LD,nf - 09",t4,LD,normal,50,19,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH14,"t3, LD, normal food","t3,LD,nf - 09",t4,LD,normal,40,54,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t3, LD, normal food","t3,LD,nf - 10",t4,LD,normal,42,20,,83,10-Mar-20,1-Jun-20,"LD, normal food"
ISH13,"t4, HD, half food","t4,HD,hf - 01",t4,HD,half,48,36,31,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH14,"t4, HD, half food","t4,HD,hf - 01",t4,HD,half,46,19,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH13,"t4, HD, half food","t4,HD,hf - 02",t4,HD,half,55,18,18,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf - 02",t4,HD,half,50,27,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH13,"t4, HD, half food","t4,HD,hf - 04",t4,HD,half,50,34,32,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH14,"t4, HD, half food","t4,HD,hf - 06",t4,HD,half,46,7,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf - 06",t4,HD,half,45,3,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH14,"t4, HD, half food","t4,HD,hf - 07",t4,HD,half,58,28,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf - 07",t4,HD,half,42,7,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH14,"t4, HD, half food","t4,HD,hf - 08",t4,HD,half,52,9,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf - 09",t4,HD,half,52,42,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH13,"t4, HD, half food","t4,HD,hf - 10",t4,HD,half,37,9,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH13,"t4, HD, half food","t4,HD,hf - 11",t4,HD,half,50,24,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf - 11",t4,HD,half,35,12,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH13,"t4, HD, half food","t4,HD,hf - 12",t4,HD,half,42,41,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH13,"t4, HD, half food","t4,HD,hf - 13",t4,HD,half,52,27,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH13,"t4, HD, half food","t4,HD,hf - 14",t4,HD,half,44,18,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH13,"t4, HD, half food","t4,HD,hf - 16",t4,HD,half,47,15,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH14,"t4, HD, half food","t4,HD,hf - 17",t4,HD,half,42,32,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf - 17",t4,HD,half,31,7,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf,tube10 - 02",t4,HD,half,55,23,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf,tube10 - 04",t4,HD,half,53,28,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf,tube10 - 05",t4,HD,half,49,5,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH15,"t4, HD, half food","t4,HD,hf,tube10 - 11",t4,HD,half,47,19,,97,10-Mar-20,15-Jun-20,"HD, half food"
ISH14,"t4, HD, normal food","t4,HD,nf - 01",t4,HD,normal,47,36,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH14,"t4, HD, normal food","t4,HD,nf - 02",t4,HD,normal,47,38,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH13,"t4, HD, normal food","t4,HD,nf - 03",t4,HD,normal,41,14,9,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH14,"t4, HD, normal food","t4,HD,nf - 03",t4,HD,normal,50,11,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH14,"t4, HD, normal food","t4,HD,nf - 04",t4,HD,normal,52,44,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH13,"t4, HD, normal food","t4,HD,nf - 06",t4,HD,normal,42,24,22,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH14,"t4, HD, normal food","t4,HD,nf - 08",t4,HD,normal,54,10,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH13,"t4, HD, normal food","t4,HD,nf - 09",t4,HD,normal,44,28,26,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH13,"t4, HD, normal food","t4,HD,nf - 10",t4,HD,normal,43,28,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH13,"t4, HD, normal food","t4,HD,nf - 11",t4,HD,normal,56,29,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH13,"t4, HD, normal food","t4,HD,nf - 12",t4,HD,normal,54,36,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH14,"t4, HD, normal food","t4,HD,nf - 12",t4,HD,normal,48,15,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH13,"t4, HD, normal food","t4,HD,nf - 15",t4,HD,normal,39,6,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH14,"t4, HD, normal food","t4,HD,nf - 15",t4,HD,normal,49,5,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH13,"t4, HD, normal food","t4,HD,nf - 16",t4,HD,normal,34,3,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH15,"t4, HD, normal food","t4,HD,nf,tube08 - 14",t4,HD,normal,39,12,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH15,"t4, HD, normal food","t4,HD,nf,tube08 - 21",t4,HD,normal,42,12,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH15,"t4, HD, normal food","t4,HD,nf,tube08 - 22",t4,HD,normal,35,12,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH15,"t4, HD, normal food","t4,HD,nf,tube09 - 01",t4,HD,normal,64,88,,97,10-Mar-20,15-Jun-20,"HD, normal food"
ISH14,"t4, LD, half food","t4,LD,hf - 02",t4,LD,half,60,15,,97,10-Mar-20,15-Jun-20,"LD, half food"
ISH14,"t4, LD, half food","t4,LD,hf - 03",t4,LD,half,60,39,,97,10-Mar-20,15-Jun-20,"LD, half food"
ISH13,"t4, LD, half food","t4,LD,hf - 04",t4,LD,half,55,56,,97,10-Mar-20,15-Jun-20,"LD, half food"
ISH13,"t4, LD, half food","t4,LD,hf - 05",t4,LD,half,58,73,,97,10-Mar-20,15-Jun-20,"LD, half food"
ISH13,"t4, LD, normal food","t4,LD,nf - 01",t4,LD,normal,62,55,52,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH14,"t4, LD, normal food","t4,LD,nf - 01",t4,LD,normal,55,29,,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH13,"t4, LD, normal food","t4,LD,nf - 02",t4,LD,normal,57,25,25,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH14,"t4, LD, normal food","t4,LD,nf - 02",t4,LD,normal,56,42,,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH13,"t4, LD, normal food","t4,LD,nf - 03",t4,LD,normal,55,29,29,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH14,"t4, LD, normal food","t4,LD,nf - 03",t4,LD,normal,57,39,,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH13,"t4, LD, normal food","t4,LD,nf - 04",t4,LD,normal,59,98,,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH14,"t4, LD, normal food","t4,LD,nf - 05",t4,LD,normal,43,25,,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH13,"t4, LD, normal food","t4,LD,nf - 06",t4,LD,normal,45,21,,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH14,"t4, LD, normal food","t4,LD,nf - 06",t4,LD,normal,42,49,,97,10-Mar-20,15-Jun-20,"LD, normal food"
ISH14,"t4, LD, normal food","t4,LD,nf - 07",t4,LD,normal,58,43,,97,10-Mar-20,15-Jun-20,"LD, normal food"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
